id,titulo,autores,anio,doi,url,base,eje,tipo_publicacion,incluido,motivo_exclusion,duplicado_de,referencia_seminal
C0011,Integration of machine learning models and remote sensing for estimating the Water Deficit Index,Soroush Sharghi; Amin Zeynolabedin,2025,10.1016/j.agwat.2025.109827,https://doi.org/10.1016/j.agwat.2025.109827,scopus,1,artículo de revista,si,,,
C0012,IoT and Machine Learning for the Forecasting of Physiological Parameters of Crop Leaves,A. Barriga; J. A. Barriga; A. Lozano-Tello; M. J. Moñino; P. J. Clemente,2025,10.1109/access.2025.3615717,https://doi.org/10.1109/access.2025.3615717,ieee,1,artículo de revista,si,,,
C0013,Lettuce Leaf Water Stress Estimation Based on Thermo-Visible Signatures Using Recurrent Neural Network Optimized by Evolutionary Strategy,R. Concepcion II; S. Lauguico; V. J. Almero; E. Dadios; A. Bandala; E. Sybingco,2020,10.1109/r10-htc49770.2020.9356963,https://doi.org/10.1109/r10-htc49770.2020.9356963,ieee,1,congreso,si,,,
C0014,Machine learning approaches for soil moisture prediction: enhancing agricultural water management with integrated data,Aram Ali,2026,10.1007/s40808-025-02607-5,https://doi.org/10.1007/s40808-025-02607-5,scopus,1,artículo de revista,si,,,
C0015,Neural network soil moisture model for irrigation scheduling,Zhe Gu; Tingting Zhu; Xiyun Jiao; Junzeng Xu; Zhiming Qi,2021,10.1016/j.compag.2020.105801,https://doi.org/10.1016/j.compag.2020.105801,scopus,1,artículo de revista,si,,,
C0016,Optimized Hybrid CNN-Random Forest Model for Thermal Imaging-Based Water Stress Detection in Large-Scale Agriculture,M. R; R. P; K. V; K. M; B. S; K. G,2025,10.1109/gitcon65266.2025.11376942,https://doi.org/10.1109/gitcon65266.2025.11376942,ieee,1,congreso,si,,,
C0017,Precision Agriculture: Improving Water Stress Forecasting in Tomato Plants Using Bioristor Data and Advanced ML Techniques,A. N; R. M,2024,10.1109/incowoco64194.2024.10863624,https://doi.org/10.1109/incowoco64194.2024.10863624,ieee;scopus,1;3,congreso,si,,,
C0018,Remote Sensing Using Unmanned Aerial Vehicles for Water Stress Detection: A Review Focusing on Specialty Crops,Harmandeep Sharma; Harjot Sidhu; Arnab Bhowmik,2025,10.3390/drones9040241,https://doi.org/10.3390/drones9040241,scopus,1,artículo de revista,si,,,
C0019,"Soil Moisture Prediction Using Remote Sensing and Machine Learning Algorithms: A Review on Progress, Challenges, and Opportunities",Manoj Lamichhane; Sushant Mehan; Kyle R. Mankin,2025,10.3390/rs17142397,https://doi.org/10.3390/rs17142397,scopus,1,artículo de revista,si,,,
C0020,Thermal Image Analysis for Precision Agriculture,A. S. Novo; O. Postolache; J. G. M. Mendes,2025,10.1109/i4tech64670.2025.11277454,https://doi.org/10.1109/i4tech64670.2025.11277454,ieee,1,congreso,si,,,
C0021,Transferable field-scale daily soil moisture forecasting in cotton with a minimal-input LSTM for irrigation scheduling,Qiong Su; Yun Lin; Glen C. Rains; Javad Mohammadpour Velni,2026,10.1016/j.atech.2026.102178,https://doi.org/10.1016/j.atech.2026.102178,scopus,1,artículo de revista,si,,,
C0022,Utilizing Digital Technology for Accurate Water Footprint Calculation in Agricultural Products,K. Rajagopal; H. Ayyavoo; A. Selvam; M. K,2025,10.1109/icfts62006.2025.11031633,https://doi.org/10.1109/icfts62006.2025.11031633,ieee,1,congreso,no,no satisface los terminos documentados del eje en titulo/resumen (posible desvio de la ejecucion real respecto del protocolo),,
C0023,Water Stress Detection in Pearl Millet Canopy with Selected Wavebands using UAV Based Hyperspectral Imaging and Machine Learning,A. U. G. Sankararao; P. Rajalakshmi; S. Kaliamoorthy; S. Choudhary,2022,10.1109/sas54819.2022.9881337,https://doi.org/10.1109/sas54819.2022.9881337,ieee,1,congreso,si,,,
C0024,A comparative study of anomaly detection approaches in time-series environmental sensor data,L. -H. Phan; C. M. Hieu Nguyen,2025,10.1109/atc67618.2025.11268742,https://doi.org/10.1109/atc67618.2025.11268742,ieee,2,congreso,si,,,
C0025,A Comparative Study of Machine Learning Models for Real-Time IoT- based Soil Moisture Anomaly Detection,Garhazi Abdullah Mohammed Abdullah; Nayef.A.M Alduais; Mohd Rizal Arshad,2026,10.1109/cspa68262.2026.11517729,https://doi.org/10.1109/cspa68262.2026.11517729,scopus,2,congreso,si,,,
C0026,A Machine Learning-Driven HVAC Optimization: Occupancy Prediction and Detection at Scale,J. Vaughan; A. Ameli; T. Akilan,2025,10.1109/ccece64018.2025.11364351,https://doi.org/10.1109/ccece64018.2025.11364351,ieee,2,congreso,no,no satisface los terminos documentados del eje en titulo/resumen (posible desvio de la ejecucion real respecto del protocolo),,
C0027,"A methodological proposal for quality control of the soil moisture variable, measured in Colombian automatic agrometeorological stations",Francisco Javier Hernández Guzmán; José Alejandro Cleves-Leguízamo; Eliecer David Diaz Almanza,2022,10.15446/rfnam.v75n3.99145,https://doi.org/10.15446/rfnam.v75n3.99145,scopus,2,artículo de revista,si,,,
C0028,A novel data healing framework for outlier detection and recovery approach in the internet of agriculture things sensor network,Rashmita Sahu; Priyanka Tripathi,2025,10.1007/s11135-025-02402-5,https://doi.org/10.1007/s11135-025-02402-5,scopus,2,artículo de revista,si,,,
C0029,A task of anomaly detection for a smart satellite Internet of things system,Z. Shao; X. Qu; F. Bu; Y. Hou,2024,10.1109/iccea62105.2024.10604205,https://doi.org/10.1109/iccea62105.2024.10604205,ieee,2,congreso,si,,,
C0030,An Outliers Detection Method for Automatic Soil Moisture Observation Data Based on Characteristic Curve,,2022,10.3969/j.issn.1000-6362.2022.03.006,https://doi.org/10.3969/j.issn.1000-6362.2022.03.006,scopus,2,,si,,,
C0031,Anomaly data detection method for in situ automatic soil moisture observation,,2021,10.12118/j.issn.1000-6060.2021.04.21,https://doi.org/10.12118/j.issn.1000-6060.2021.04.21,scopus,2,,si,,,
C0032,Anomaly Detection for Smart Soil Sensors: A Comparative Analysis of Statistical and Machine Learning Methods,S. Alperen Celtek; A. Ozgur Polat; Seda Kul,2025,10.1109/summa68668.2025.11302370,https://doi.org/10.1109/summa68668.2025.11302370,scopus,2,congreso,si,,,
C0033,Anomaly Detection From Low-Dimensional Latent Manifolds With Home Environmental Sensors,F. M. Melgarejo-Meseguer; A. Lorenzo-Bleda; S. Eduardo-Abbenante; F. -J. Gimeno-Blanes; E. Everss-Villalba; S. Muñoz-Romero; J. -L. Rojo-Álvarez; R. M. Ferriz,2024,10.1109/jiot.2023.3338697,https://doi.org/10.1109/jiot.2023.3338697,ieee,2,artículo de revista,si,,,
C0034,Anomaly detection in smart agriculture systems,C. Catalano; L. Paiano; F. Calabrese; M. Cataldo; L. Mancarella; F. Tommasi,2022,10.1016/j.compind.2022.103750,https://doi.org/10.1016/j.compind.2022.103750,scopus,2,artículo de revista,si,,,
C0035,Clustering-Aided Classification and Anomaly Detection of Smart Office Patterns Using Environmental Sensor Data,N. Najafiragheb; M. A. Jaziri; A. Pandurino; A. Bucciero,2025,10.1109/aiot66900.2025.00106,https://doi.org/10.1109/aiot66900.2025.00106,ieee,2,congreso,si,,,
C0036,Design and Performance Evaluation of an RFID and Machine Learning-Based Intelligent Security System for Smart Buildings,Q. Li; J. Liu,2025,10.1109/icicr65456.2025.00041,https://doi.org/10.1109/icicr65456.2025.00041,ieee,2,congreso,no,cribado semantico (titulo+abstract): no aporta directamente a ninguno de los ejes en los que fue hallado,,
C0037,Design of an IoT based Monitoring System Utilizing Deep Reinforcement Learning and Ensemble Learning for Precision Agriculture,A. Choudhari; D. Bhoyar; W. P. Badole,2024,10.1109/icscss60660.2024.10625266,https://doi.org/10.1109/icscss60660.2024.10625266,ieee,2,congreso,si,,,
C0038,ECCL-AgriNet: Environmental Consistency Contrastive Learning for Smart Agriculture Monitoring Using Image Analytics and IoT Sensors,M. Nallagangulla; S. S. B; S. A. V; T. Saravanan; M. Soni,2026,10.1109/icicacs68679.2026.11578519,https://doi.org/10.1109/icicacs68679.2026.11578519,ieee,2,congreso,si,,,
C0039,Edge-AI Enabled Telemetry System for Real-Time Predictive Maintenance in Commercial Computing Frameworks,D. Ahuja,2025,10.1109/gitcon65266.2025.11376867,https://doi.org/10.1109/gitcon65266.2025.11376867,ieee,2,congreso,no,no satisface los terminos documentados del eje en titulo/resumen (posible desvio de la ejecucion real respecto del protocolo),,
C0040,Fire Early Detection System Based on Artificial Intelligence-Driven Climate Analysis,P. Güneş; M. E. Türksoy; E. Erden; B. Boz,2025,10.1109/ubmk67458.2025.11206994,https://doi.org/10.1109/ubmk67458.2025.11206994,ieee,2,congreso,no,no satisface los terminos documentados del eje en titulo/resumen (posible desvio de la ejecucion real respecto del protocolo),,
C0041,Interactive soil moisture interface of multi-depth change over time,David Gallacher; Guy Roth; Alex McBratney,2023,10.1016/j.compag.2022.107508,https://doi.org/10.1016/j.compag.2022.107508,scopus,2,artículo de revista,no,cribado semantico (titulo+abstract): no aporta directamente a ninguno de los ejes en los que fue hallado,,
C0042,Intrusion Detection and Mitigation System for Smart Inverters Based on Machine Learning and Environmental Sensors,Z. Zhang; S. Rahman,2026,10.35833/mpce.2025.000713,https://doi.org/10.35833/mpce.2025.000713,ieee,2,artículo de revista,no,no satisface los terminos documentados del eje en titulo/resumen (posible desvio de la ejecucion real respecto del protocolo),,
C0043,LGCA-Net: A time-series anomaly detection method for multiple types of agricultural sensors,Zongren Wang; Laixi Zhang; Jianbo Guo; Yuan Huang; Ping Lin; Wengang Zheng; Lili Zhangzhong,2026,10.1016/j.inpa.2026.01.008,https://doi.org/10.1016/j.inpa.2026.01.008,scopus,2,artículo de revista,si,,,
C0044,"Machine Learning-Assisted, Process-Based Quality Control for Detecting Compromised Environmental Sensors",Jacquelyn Q. Schmidt; Branko Kerkez,2023,10.1021/acs.est.3c00360,https://doi.org/10.1021/acs.est.3c00360,scopus,2,artículo de revista,si,,,
C0045,Normal-Only Anomaly Detection in Environmental Sensors in CPS: A Comprehensive Review,Y. Takyiwaa Acquaah; R. Kaushik,2024,10.1109/access.2024.3513714,https://doi.org/10.1109/access.2024.3513714,ieee,2,artículo de revista,si,,,
C0046,Physics-Based Synthetic Data and On-Device SLM Reasoning for Automated IoT Sensor Fault Detection in Offline Edge Environments,S. Marri; A. Sangwan,2026,10.1109/smartnets69662.2026.11604705,https://doi.org/10.1109/smartnets69662.2026.11604705,ieee,2,congreso,no,no satisface los terminos documentados del eje en titulo/resumen (posible desvio de la ejecucion real respecto del protocolo),,
C0047,Research on Anomaly Detection Model for Intelligent Sensor Networks Based on Generative Large Models,G. Duan,2026,10.1109/icetci68937.2026.11610697,https://doi.org/10.1109/icetci68937.2026.11610697,ieee,2,congreso,si,,,
C0048,Sensor Data based Work Area Environment Risk Prediction and Monitoring in the Shipbuilding,J. KIM; Y. W. Cho; B. -T. Jang,2019,10.1109/ictc46691.2019.8939789,https://doi.org/10.1109/ictc46691.2019.8939789,ieee,2,congreso,no,no satisface los terminos documentados del eje en titulo/resumen (posible desvio de la ejecucion real respecto del protocolo),,
C0049,Smart Irrigation and Anomaly Detection using Soil Moisture Sensors,M. Khan; S. Varma; J. Tiwari,2025,10.1109/icih67754.2025.11608676,https://doi.org/10.1109/icih67754.2025.11608676,ieee,2,congreso,si,,,
C0050,System for automated Quality Control (SaQC) to enable traceable and reproducible data streams in environmental science,Lennart Schmidt; David Schäfer; Juliane Geller; Peter Lünenschloss; Bert Palm; Karsten Rinke; Corinna Rebmann; Michael Rode; Jan Bumberger,2023,10.1016/j.envsoft.2023.105809,https://doi.org/10.1016/j.envsoft.2023.105809,scopus,2,artículo de revista,no,no satisface los terminos documentados del eje en titulo/resumen (posible desvio de la ejecucion real respecto del protocolo),,
C0051,Temporal Analysis of Environmental Sensor Data for Agricultural Applications,Ratchanon Kiattrakoon; Surakan Kaewkeeree; Montrakarn Pramong; Kritsana Sureeya; Tanakorn Inthasuth; Siti Zuraidah Ibrahim,2025,10.1109/itc-cscc66376.2025.11137798,https://doi.org/10.1109/itc-cscc66376.2025.11137798,scopus,2,congreso,si,,,
C0052,TimeTector: A Twin-Branch Approach for Unsupervised Anomaly Detection in Livestock Sensor Noisy Data (TT-TBAD),Junaid Khan Kakar; Shahid Hussain; Sang Cheol Kim; Hyongsuk Kim,2024,10.3390/s24082453,https://doi.org/10.3390/s24082453,scopus,2,artículo de revista,si,,,
C0053,1 Safe Data Augmentation using Generative AI to Ensure Sustainable Prediction Accuracy of Marine Data,,2026,,https://ieeexplore.ieee.org/xpl/ebooks/bookPdfWithBanner.jsp?fileName=11614348.pdf&bkn=11614265&pdfType=chapter,ieee,3,congreso,no,"coincidencia de terminos espuria: dominio claramente ajeno a agricultura/cultivos/suelo (ej. imagenologia medica, seguridad de redes) sin anclaje agricola en el titulo",,
C0054,3D Conditional Adversarial Learning for Synthesizing Microscopic Neuron Image Using Skeleton-to-Neuron Translation,Z. Tang; D. Zhang; Y. Song; H. Wang; D. Liu; C. Zhang; S. Liu; H. Peng; W. Cai,2020,10.1109/isbi45749.2020.9098345,https://doi.org/10.1109/isbi45749.2020.9098345,ieee,3,congreso,no,no satisface los terminos documentados del eje en titulo/resumen (posible desvio de la ejecucion real respecto del protocolo),,
C0055,A Comparative Analysis of Few-Shot and Zero-Shot Learning Models with Explainable AI for Crop Disease Recognition Emerging Smart Agriculture,M. R. Uddin; N. Morshed; K. N. Priyanka; M. S. Islam; M. S. Iqbal,2026,10.1109/icecte69292.2026.11429200,https://doi.org/10.1109/icecte69292.2026.11429200,ieee,3,congreso,no,no satisface los terminos documentados del eje en titulo/resumen (posible desvio de la ejecucion real respecto del protocolo),,
C0056,A comparison of graph-based semi-supervised learning for data augmentation,W. D. G. d. Oliveira; O. A. B. Penatti; L. Berton,2020,10.1109/sibgrapi51738.2020.00043,https://doi.org/10.1109/sibgrapi51738.2020.00043,ieee,3,congreso,si,,,
C0057,A Comprehensive Survey on Data Augmentation,Z. Wang; P. Wang; K. Liu; P. Wang; Y. Fu; C. -T. Lu; C. C. Aggarwal; J. Pei; Y. Zhou,2026,10.1109/tkde.2025.3622600,https://doi.org/10.1109/tkde.2025.3622600,ieee,3,artículo de revista,no,no satisface los terminos documentados del eje en titulo/resumen (posible desvio de la ejecucion real respecto del protocolo),,
C0058,A Cyber-Physical Precision Agriculture System for Plant Growth and Yield Prediction,B. W. Rong Ng; J. KiatNg; M. A. Juman; V. R. Sampath Kumar; A. J. Jin Leong,2024,10.1109/agreta61912.2024.10948892,https://doi.org/10.1109/agreta61912.2024.10948892,ieee,3,congreso,no,cribado semantico (titulo+abstract): no aporta directamente a ninguno de los ejes en los que fue hallado,,
C0059,A Data Augmentation Method Based on Generative Adversarial Networks for Grape Leaf Disease Identification,B. Liu; C. Tan; S. Li; J. He; H. Wang,2020,10.1109/access.2020.2998839,https://doi.org/10.1109/access.2020.2998839,ieee,3,artículo de revista,no,no satisface los terminos documentados del eje en titulo/resumen (posible desvio de la ejecucion real respecto del protocolo),,
C0060,A Data-Scarce Digital Twin Framework for Irrigation Decision-Making Using Physics-Constrained Generative AI,S. Mohan; S. Sharma; M. M. Unnithan; S. Lalitha,2026,10.1109/icssas68835.2026.11559311,https://doi.org/10.1109/icssas68835.2026.11559311,ieee,3,congreso,si,,,
C0061,A Deep Hybrid Ensemble of CNN and Vision Transformer for Detecting Breast Cancer from Mammographic Images,J. Choudhary; K. Kaur; A. Kumar,2025,10.1109/medcom67532.2025.11404808,https://doi.org/10.1109/medcom67532.2025.11404808,ieee,3,congreso,no,no satisface los terminos documentados del eje en titulo/resumen (posible desvio de la ejecucion real respecto del protocolo),,
C0062,A Dual GAN-Based Method for Augmenting High-Quality Rice Leaf Disease Images,K. Vijayalakshmi; K. Sreenivasulu; M. Sandhya; G. Khaleelbasha; M. V. Naresh,2024,10.1109/accai61061.2024.10602452,https://doi.org/10.1109/accai61061.2024.10602452,ieee,3,congreso,no,no satisface los terminos documentados del eje en titulo/resumen (posible desvio de la ejecucion real respecto del protocolo),,
C0063,A GAN-Augmented Multi-Scale Feature Fusion Framework for Explainable Crop Disease Detection,G. Sunitha; B. Reddy.A; G. P. Harshitha; M. Likitha; K. U. Rani; M. Dinesh Kumar Reddy,2026,10.1109/icipcn67432.2026.11438678,https://doi.org/10.1109/icipcn67432.2026.11438678,ieee,3,congreso,no,no satisface los terminos documentados del eje en titulo/resumen (posible desvio de la ejecucion real respecto del protocolo),,
C0064,A Generative Adversarial Network Approach to Metastatic Cancer Cell Images,S. Lee; H. Kim; H. Higuchi; M. Ishikawa; R. Natato,2022,10.1109/icaiic54071.2022.9722664,https://doi.org/10.1109/icaiic54071.2022.9722664,ieee,3,congreso,no,no satisface los terminos documentados del eje en titulo/resumen (posible desvio de la ejecucion real respecto del protocolo),,
C0065,A Generative Time-Series Data Augmentation Framework Based on Multisource Remote Sensing for Early Crop Classification,Y. Zhang; X. Huang; W. Kong; Z. Liu; M. Liu; J. Liu; H. Hu; L. Liu,2026,10.1109/jstars.2026.3662757,https://doi.org/10.1109/jstars.2026.3662757,ieee,3,artículo de revista,si,,,
C0066,A High-Quality Rice Leaf Disease Image Data Augmentation Method Based on a Dual GAN,Z. Zhang; Q. Gao; L. Liu; Y. He,2023,10.1109/access.2023.3251098,https://doi.org/10.1109/access.2023.3251098,ieee,3,artículo de revista,si,,,
C0067,A Hybrid Computer Vision enabled GAN Model for Pest and Disease Detection,J. Banerjee; A. K. Das; K. Sabale; A. Alkhayyat,2024,10.1109/icec59683.2024.10837494,https://doi.org/10.1109/icec59683.2024.10837494,ieee,3,congreso,si,,,
C0068,A Hybrid Deep Learning Framework for Robust Detection of Rice Leaf Diseases Using CNN and Transformer-Based Attention,K. Mostafa; F. Imran; M. Anjum; S. I. Siam,2025,10.1109/qpain66474.2025.11171957,https://doi.org/10.1109/qpain66474.2025.11171957,ieee,3,congreso,no,no satisface los terminos documentados del eje en titulo/resumen (posible desvio de la ejecucion real respecto del protocolo),,
C0069,A Hybrid Framework Combining GAN-Based Augmentation and Ensemble Learning for Improved Satellite Image Classification,S. M. Nafis Ahmed; N. Tabassum; H. Jahan,2025,10.1109/ncim65934.2025.11160168,https://doi.org/10.1109/ncim65934.2025.11160168,ieee,3,congreso,no,no satisface los terminos documentados del eje en titulo/resumen (posible desvio de la ejecucion real respecto del protocolo),,
C0070,A Hybrid GAN and GCN Model for Intrusion Detection in Heterogenous IoT Networks,M. Alzahrani; P. Nanda; M. Mohanty; F. El Zegil,2025,10.1109/iccae64891.2025.10980509,https://doi.org/10.1109/iccae64891.2025.10980509,ieee,3,congreso,no,"coincidencia de terminos espuria: dominio claramente ajeno a agricultura/cultivos/suelo (ej. imagenologia medica, seguridad de redes) sin anclaje agricola en el titulo",,
C0071,A Hybrid GAN-CNN Approach for Predicting Tomato Leaf Diseases,K. A; K. S,2025,10.1109/icisc65841.2025.11188346,https://doi.org/10.1109/icisc65841.2025.11188346,ieee,3,congreso,si,,,
C0072,A Labor-Efficient GAN-based Model Generation Scheme for Deep-Learning Defect Inspection among Dense Beans in Coffee Industry,C. -J. Kuo; C. -C. Chen; T. -T. Chen; Z. Tsai; M. -H. Hung; Y. -C. Lin; Y. -C. Chen; D. -C. Wang; G. -J. Homg; W. -T. Su,2019,10.1109/coase.2019.8843259,https://doi.org/10.1109/coase.2019.8843259,ieee,3,congreso,no,no satisface los terminos documentados del eje en titulo/resumen (posible desvio de la ejecucion real respecto del protocolo),,
C0073,A Multi-Stage Community-Based Hybrid Framework for Plant Disease Detection: From Segmentation to Synthetic Augmentation,L. D; K. S. Shankarappa; T. Mani; V. M; D. B. G.; A. Kumari,2026,10.1109/icctac68277.2026.11524562,https://doi.org/10.1109/icctac68277.2026.11524562,ieee,3,congreso,no,no satisface los terminos documentados del eje en titulo/resumen (posible desvio de la ejecucion real respecto del protocolo),,
C0074,A Novel Approach to Grape Leaf Disease Detection using GAN-Enhanced ResNet and EfficientNet,A. Badhan; P. Arora; R. Garg; R. Kaur,2025,10.1109/iccmc65190.2025.11140713,https://doi.org/10.1109/iccmc65190.2025.11140713,ieee,3,congreso,no,no satisface los terminos documentados del eje en titulo/resumen (posible desvio de la ejecucion real respecto del protocolo),,
C0075,A Novel Routing Equipment Fault Diagnosis Scheme Based On Machine Learning In Short Distance Communication Scenario,Z. Zhou; W. Tan; C. Pan; J. Li,2025,10.1109/itoec63606.2025.10968339,https://doi.org/10.1109/itoec63606.2025.10968339,ieee,3,congreso,no,no satisface los terminos documentados del eje en titulo/resumen (posible desvio de la ejecucion real respecto del protocolo),,
C0076,A Novel Transformer Model for Accelerated and Efficient Cotton Leaf Disease Identification,M. M. Rahman; M. S. Hossain; K. Dhakal; R. Poudel; M. M. Islam; M. R. Ahmed; S. Rahman,2025,10.1109/qpain66474.2025.11172151,https://doi.org/10.1109/qpain66474.2025.11172151,ieee,3,congreso,si,,,
C0077,A Residual Recurrent Generative Adversarial Network Approach for Crop Yield Estimation and Fertilizer Optimization,P. Awasthi; S. Mishra; N. Gupta; A. Kumar; M. Derawi,2025,10.1109/access.2025.3646354,https://doi.org/10.1109/access.2025.3646354,ieee,3,artículo de revista,si,,,
C0078,A Robust Deep Learning Approach for the Quantitative Characterization and Clustering of Peach Tree Crowns Based on UAV Images,J. Hu; Y. Zhang; D. Zhao; G. Yang; F. Chen; C. Zhou; W. Chen,2022,10.1109/tgrs.2022.3142288,https://doi.org/10.1109/tgrs.2022.3142288,ieee,3,artículo de revista,si,,,
C0079,A Robust Image Watermarking Approach for Application in AI Generated Images,T. A. Aditto; M. R. Shahariar; H. Imtiaz,2024,10.1109/icece64886.2024.11025115,https://doi.org/10.1109/icece64886.2024.11025115,ieee,3,congreso,no,no satisface los terminos documentados del eje en titulo/resumen (posible desvio de la ejecucion real respecto del protocolo),,
C0080,A Smart Agricultural Analytics and E-Commerce Framework for Daily Commodity Price Prediction Using Hybrid Arima-Lstm With Improved Timegan,M. U. Sarangapani; V. MuraliBhaskaran; S. M.; S. V. H.,2026,10.23919/indiacom70271.2026.11525751,https://doi.org/10.23919/indiacom70271.2026.11525751,ieee,3,congreso,no,no satisface los terminos documentados del eje en titulo/resumen (posible desvio de la ejecucion real respecto del protocolo),,
C0081,A Spatiotemporal Generative AI Framework for Agronomic Forecasting Using Semi-Supervised Learning on Remote Sensing Time-Series,S. Henna; M. Rao Sakhamuri,2025,10.1109/smartcomp65954.2025.00093,https://doi.org/10.1109/smartcomp65954.2025.00093,ieee,3,congreso,si,,,
C0082,A Stacking Ensemble Framework Leveraging Synthetic Data for Accurate and Stable Crop Yield Forecasting,M. Waqar; Y. -W. Kim; Y. -C. Byun,2025,10.1109/access.2025.3591802,https://doi.org/10.1109/access.2025.3591802,ieee,3,artículo de revista,si,,,
C0083,"A Survey of Automated Data Augmentation for Image Classification: Learning to Compose, Mix, and Generate",T. -H. Cheung; D. -Y. Yeung,2024,10.1109/tnnls.2023.3282258,https://doi.org/10.1109/tnnls.2023.3282258,ieee,3,artículo de revista,si,,,
C0084,"A Survey of Generative Adversarial Networks for Satellite Imagery: Applications, Image Types, Tasks, and Challenges",H. S. Altahainah; O. M. Alyasiri; M. H. Mohd Noor,2025,10.1109/access.2025.3623067,https://doi.org/10.1109/access.2025.3623067,ieee,3,artículo de revista,si,,,
C0085,A Time Series Self-Supervised Contrastive Pretraining Method With Data Augmentation Using Discrepancy of Reconstruction Information Loss,Z. Zhang; Y. Han; B. Ma; Z. Geng,2025,10.1109/tim.2025.3548177,https://doi.org/10.1109/tim.2025.3548177,ieee,3,artículo de revista,si,,,
C0086,A two-stage Deep Convolutional Generative Adversarial Network-based data augmentation scheme for agriculture image regression tasks,H. Hammouch; M. El-Yacoubi; H. Qin; A. Berrahou; H. Berbia; M. Chikhaoui,2021,10.1109/iccsi53130.2021.9736230,https://doi.org/10.1109/iccsi53130.2021.9736230,ieee,3,congreso,si,,,
C0087,A Unified Deep Learning Approach for Multi-Mission Spacecraft Anomaly Detection Using Hybrid CNN-LSTM-Transformer Architecture with Multi-Task Learning,R. A. C R; E. A. Devi; S. Lakshmi,2025,10.1109/acoit66109.2025.11436971,https://doi.org/10.1109/acoit66109.2025.11436971,ieee,3,congreso,no,no satisface los terminos documentados del eje en titulo/resumen (posible desvio de la ejecucion real respecto del protocolo),,
C0088,Accuracy Analysis of Various CNN Models with Synthetic and Original Dataset for Cotton leaf,L. Y. N. A; S. S; R. C. B; B. G; S. P. A. S,2024,10.1109/ic-etite58242.2024.10493374,https://doi.org/10.1109/ic-etite58242.2024.10493374,ieee,3,congreso,si,,,
